date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:47%20GMT	https://constructionbim.faro.com/?p=756	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/index79e7.html	(from https://constructionbim.faro.com/mx/arquitectura/)
22:52:50	132/132	---MC-	404	error ('Not%20Found')	text/xml	date:Wed,%2003%20Oct%202018%2020:52:48%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Farquitectura%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed59a1	(from https://constructionbim.faro.com/mx/arquitectura/)
22:52:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:48%20GMT	https://constructionbim.faro.com/mx/inicio	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/mx/inicio	(from https://constructionbim.faro.com/mx/arquitectura/)
22:52:51	2315/2315	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Oct%202018%2020:52:49%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fconstruccion%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embedf97d.json	(from https://constructionbim.faro.com/mx/construccion/)
22:52:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:50%20GMT	https://constructionbim.faro.com/?p=759	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/indexdc17.html	(from https://constructionbim.faro.com/mx/construccion/)
22:52:52	2409/2409	---MCZ	200	added ('OK')	text/xml	date:Wed,%2003%20Oct%202018%2020:52:50%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fconstruccion%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embeddb14	(from https://constructionbim.faro.com/mx/construccion/)
22:52:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:51%20GMT	https://constructionbim.faro.com/mx/inicio	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/mx/inicio	(from https://constructionbim.faro.com/mx/construccion/)
22:52:54	2305/2305	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Oct%202018%2020:52:51%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fingenieria%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed922e.json	(from https://constructionbim.faro.com/mx/ingenieria/)
22:52:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:52:52%20GMT	https://constructionbim.faro.com/?p=764	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/indexa102.html	(from https://constructionbim.faro.com/mx/ingenieria/)
22:52:55	2399/2399	---MCZ	200	added ('OK')	text/xml	date:Wed,%2003%20Oct%202018%2020:52:53%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fingenieria%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embedcb31	(from https://constructionbim.faro.com/mx/ingenieria/)
